t(s),r(km),v(km/s)
560,10204.7,4.53095
561,10209.2,4.52713
562,10213.7,4.5233
563,10218.2,4.51948
564,10222.8,4.51567
565,10227.3,4.51186
566,10231.8,4.50805
567,10236.3,4.50424
568,10240.8,4.50044
569,10245.3,4.49664
570,10249.8,4.49285
571,10254.3,4.48905
572,10258.8,4.48526
573,10263.3,4.48148
574,10267.7,4.4777
575,10272.2,4.47392
576,10276.7,4.47014
577,10281.1,4.46637
578,10285.6,4.4626
579,10290.1,4.45883
580,10294.5,4.45507
581,10299,4.45131
582,10303.4,4.44756
583,10307.9,4.4438
584,10312.3,4.44005
585,10316.8,4.43631
586,10321.2,4.43256
587,10325.6,4.42882
588,10330,4.42509
589,10334.5,4.42135
590,10338.9,4.41762
591,10343.3,4.4139
592,10347.7,4.41017
593,10352.1,4.40645
594,10356.5,4.40273
595,10360.9,4.39902
596,10365.3,4.39531
597,10369.7,4.3916
598,10374.1,4.38789
599,10378.5,4.38419
600,10382.9,4.38049
601,10387.3,4.3768
602,10391.6,4.37311
603,10396,4.36942
604,10400.4,4.36573
605,10404.7,4.36205
606,10409.1,4.35837
607,10413.5,4.35469
608,10417.8,4.35101
609,10422.2,4.34734
610,10426.5,4.34368
611,10430.8,4.34001
612,10435.2,4.33635
613,10439.5,4.33269
614,10443.8,4.32903
615,10448.2,4.32538
616,10452.5,4.32173
617,10456.8,4.31809
618,10461.1,4.31444
619,10465.4,4.3108
620,10469.8,4.30716
621,10474.1,4.30353
622,10478.4,4.2999
623,10482.7,4.29627
624,10487,4.29264
625,10491.2,4.28902
626,10495.5,4.2854
627,10499.8,4.28178
628,10504.1,4.27817
629,10508.4,4.27456
630,10512.6,4.27095
631,10516.9,4.26735
632,10521.2,4.26374
633,10525.4,4.26014
634,10529.7,4.25655
635,10534,4.25295
636,10538.2,4.24936
637,10542.5,4.24578
638,10546.7,4.24219
639,10550.9,4.23861
640,10555.2,4.23503
641,10559.4,4.23146
642,10563.6,4.22788
643,10567.9,4.22431
644,10572.1,4.22074
645,10576.3,4.21718
646,10580.5,4.21362
647,10584.7,4.21006
648,10588.9,4.2065
649,10593.1,4.20295
650,10597.3,4.1994
651,10601.5,4.19585
652,10605.7,4.19231
653,10609.9,4.18876
654,10614.1,4.18522
655,10618.3,4.18169
656,10622.5,4.17815
657,10626.7,4.17462
658,10630.8,4.1711
659,10635,4.16757
660,10639.2,4.16405
661,10643.3,4.16053
662,10647.5,4.15701
663,10651.6,4.1535
664,10655.8,4.14998
665,10659.9,4.14648
666,10664.1,4.14297
667,10668.2,4.13947
668,10672.4,4.13596
669,10676.5,4.13247
670,10680.6,4.12897
671,10684.8,4.12548
672,10688.9,4.12199
673,10693,4.1185
674,10697.1,4.11502
675,10701.2,4.11154
676,10705.3,4.10806
677,10709.4,4.10458
