t,x,y,vx,vy
283,920432,280937,872.729,1005.16
284,921306,281943,873.864,1005.51
285,922181,282949,875.007,1005.86
286,923057,283955,876.159,1006.21
287,923935,284961,877.319,1006.57
288,924813,285968,878.487,1006.93
289,925693,286976,879.663,1007.29
290,926574,287983,880.847,1007.66
291,927456,288991,882.04,1008.03
292,928339,290000,883.24,1008.4
293,929223,291008,884.449,1008.78
294,930109,292018,885.666,1009.16
295,930996,293027,886.891,1009.55
296,931884,294037,888.124,1009.93
297,932774,295047,889.366,1010.33
298,933664,296058,890.615,1010.72
299,934556,297069,891.872,1011.12
300,935449,298081,893.137,1011.52
301,936344,299093,894.41,1011.93
302,937239,300105,895.691,1012.34
303,938136,301118,896.98,1012.75
304,939035,302131,898.277,1013.17
305,939934,303145,899.582,1013.59
306,940835,304159,900.895,1014.01
307,941737,305173,902.215,1014.44
308,942641,306188,903.543,1014.87
309,943546,307203,904.88,1015.3
310,944452,308219,906.224,1015.74
311,945359,309235,907.575,1016.18
312,946268,310252,908.935,1016.62
313,947179,311269,910.302,1017.07
314,948090,312286,911.677,1017.52
315,949003,313304,913.059,1017.98
316,949918,314323,914.449,1018.44
317,950834,315342,915.847,1018.9
318,951751,316361,917.253,1019.37
319,952670,317381,918.666,1019.84
320,953590,318401,920.087,1020.31
321,954511,319422,921.515,1020.79
322,955434,320443,922.951,1021.27
323,956359,321465,924.394,1021.75
324,957284,322487,925.845,1022.24
325,958212,323510,927.304,1022.73
326,959140,324533,928.77,1023.23
327,960071,325557,930.243,1023.72
328,961002,326581,931.724,1024.23
329,961936,327606,933.212,1024.73
330,962870,328631,934.708,1025.24
331,963807,329657,936.211,1025.75
332,964744,330683,937.721,1026.27
333,965684,331710,939.239,1026.79
334,966624,332737,940.764,1027.31
335,967567,333765,942.297,1027.84
336,968510,334793,943.837,1028.37
337,969456,335822,945.384,1028.91
338,970403,336852,946.938,1029.45
339,971351,337882,948.5,1029.99
340,972301,338912,950.068,1030.53
341,973253,339943,951.644,1031.08
342,974206,340975,953.228,1031.64
343,975161,342007,954.818,1032.19
344,976117,343040,956.416,1032.75
345,977075,344073,958.02,1033.32
346,978035,345107,959.632,1033.89
347,978996,346142,961.251,1034.46
348,979959,347177,962.877,1035.03
349,980924,348212,964.51,1035.61
350,981890,349248,966.15,1036.19
351,982858,350285,967.798,1036.78
352,983827,351323,969.452,1037.37
353,984798,352361,971.113,1037.96
354,985771,353399,972.781,1038.56
355,986745,354438,974.457,1039.16
356,987722,355478,976.139,1039.76
357,988699,356518,977.828,1040.37
358,989679,357559,979.524,1040.98
359,990660,358601,981.227,1041.6
360,991643,359643,982.937,1042.22
